11580.txt		4.85		5.0		4.9		4.86		5.0	4.9		4.69		58.55		high
11717.txt		4.3		5.0		4.9		4.88		4.4	4.96		5.0		57.64		high
12533.txt		4.2		5.0		4.9		4.89		4.8	4.86		4.55		57.16		high
14397.txt		4.65		5.0		4.9		4.9		4.8	4.88		4.35		57.29		high
22698.txt		4.9		5.0		4.9		4.87		5.0	4.74		5.0		58.76		high
23062.txt		4.4		5.0		4.9		4.9		5.0	4.95		4.34		57.63		high
30159.txt		4.3		5.0		4.9		4.88		4.8	4.92		4.2		56.72		high
30584.txt		4.5		5.0		4.9		4.91		5.0	4.52		5.0		57.78		high
32672.txt		4.6		5.0		4.85		4.88		4.2	4.65		5.0		56.56		high
32900.txt		3.3		5.0		4.75		4.88		4.5	3.81		3.94		51.12		high
33857.txt		4.8		5.0		4.75		4.88		4.8	4.95		4.55		57.86		high
35984.txt		4.8		5.0		4.65		4.93		4.9	2.54		3.99		49.71		medium
36239.txt		4.6		5.0		4.65		4.93		4.7	5.0		4.06		56.63		high
37662.txt		4.75		5.0		4.65		4.85		4.4	2.89		4.68		50.93		high
40863.txt		4.4		5.0		4.65		4.89		4.7	2.67		4.45		50.14		high
52054.txt		4.8		5.0		4.65		4.9		4.2	4.59		3.66		53.74		high
66233.txt		3.75		5.0		4.65		4.92		4.7	4.86		4.25		55.72		high
68592.txt		4.3		5.0		4.6		4.8		5.0	4.89		5.0		58.17		high
71654.txt		4.4		5.0		4.55		4.89		4.7	4.99		4.96		58.02		high
78264.txt		4.9		5.0		4.5		4.94		4.6	2.92		4.57		51.38		high
5105.txt		1.2		5.0		4.45		4.96		5.0	2.01		2.93		42.46		low
10215.txt		2.55		5.0		4.45		4.93		4.9	4.64		3.96		53.5		high
18772.txt		3.75		5.0		4.4		4.86		4.4	4.99		5.0		56.64		high
22597.txt		4.4		5.0		4.35		4.89		5.0	2.81		3.99		49.94		medium
23897.txt		4.7		5.0		4.35		4.91		4.7	4.99		4.19		56.62		high
23976.txt		4.6		5.0		4.35		4.89		4.6	2.85		3.72		48.92		medium
25431.txt		4.2		5.0		4.35		4.94		4.6	1.75		2.66		43.2		low
26125.txt		4.2		5.0		4.35		4.88		4.0	4.76		4.7		54.99		high
26917.txt		4.6		5.0		4.35		4.91		4.8	5.0		4.61		57.59		high
29693.txt		4.4		5.0		4.35		4.91		5.0	2.98		4.0		50.51		high
29789.txt		4.65		5.0		4.35		4.94		4.3	3.0		3.24		47.96		medium
30668.txt		4.8		5.0		4.35		4.85		4.0	5.0		4.33		55.51		high
35420.txt		4.4		5.0		4.25		4.89		4.4	5.0		4.35		55.93		high
36413.txt		4.5		5.0		4.2		4.89		5.0	4.51		4.81		56.63		high
38979.txt		4.4		5.0		4.15		4.91		4.6	2.6		3.8		47.97		medium
39030.txt		3.75		5.0		4.05		4.9		5.0	4.0		4.36		53.32		high
43322.txt		3.45		5.0		3.95		4.88		4.0	5.0		4.89		54.94		high
44961.txt		3.15		5.0		3.95		4.92		4.0	2.62		3.2		44.2		low
46849.txt		3.3		5.0		3.95		4.89		4.4	2.81		3.59		46.44		medium
48984.txt		4.6		5.0		3.95		4.92		3.2	1.6		3.81		42.21		low
7965.txt		3.9		5.0		3.95		4.94		4.0	2.71		3.47		45.8		medium
